mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,B,level3,0.737555,0.6260549999999999,0.737555,0.81659465,0.0,0.11150000000000004,0.07903965000000002,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,A,level1,0.71462,0.6302199999999999,0.71462,0.8051782149999999,0.0,0.08440000000000014,0.09055821499999983,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,A,level2,0.71462,0.6302199999999999,0.71462,0.8051782149999999,0.0,0.08440000000000014,0.09055821499999983,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,A,level3,0.71462,0.6302199999999999,0.71462,0.8051782149999999,0.0,0.08440000000000014,0.09055821499999983,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,B,level1,0.7175549999999999,0.6260549999999999,0.7175549999999999,0.80551465,0.0,0.09150000000000003,0.08795965000000006,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,B,level2,0.7175549999999999,0.6260549999999999,0.7175549999999999,0.80551465,0.0,0.09150000000000003,0.08795965000000006,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.05,B,level3,0.7175549999999999,0.6260549999999999,0.7175549999999999,0.80551465,0.0,0.09150000000000003,0.08795965000000006,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,A,level1,0.69462,0.6302199999999999,0.69462,0.7942357149999999,0.0,0.06440000000000012,0.09961571499999988,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,A,level2,0.69462,0.6302199999999999,0.69462,0.7942357149999999,0.0,0.06440000000000012,0.09961571499999988,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,A,level3,0.69462,0.6302199999999999,0.69462,0.7942357149999999,0.0,0.06440000000000012,0.09961571499999988,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
